PassengerId,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Survived
21.0,2.0,35.0,0.0,0.0,26.0,True,False,True,0.0
178.0,1.0,50.0,,0.0,28.7125,False,False,False,0.0
220.0,2.0,30.0,,0.0,10.5,True,False,True,0.0
420.0,3.0,,0.0,2.0,24.15,False,False,True,0.0
49.0,3.0,28.0,2.0,,21.6792,True,False,False,0.0
516.0,1.0,47.0,0.0,0.0,34.0208,True,False,True,0.0
596.0,3.0,36.0,1.0,1.0,24.15,True,False,True,0.0
153.0,3.0,,0.0,0.0,8.05,True,False,True,0.0
765.0,3.0,16.0,0.0,0.0,,True,False,True,0.0
685.0,2.0,60.0,1.0,1.0,39.0,True,False,True,0.0
,3.0,28.0,1.0,1.0,15.2458,True,False,False,0.0
703.0,3.0,18.0,0.0,1.0,14.4542,False,False,False,
7.0,1.0,54.0,0.0,0.0,51.8625,,False,True,0.0
362.0,2.0,29.0,1.0,0.0,27.7208,True,False,False,0.0
403.0,3.0,,1.0,0.0,9.825,False,False,True,0.0
669.0,3.0,43.0,0.0,0.0,8.05,True,False,True,0.0
831.0,3.0,15.0,1.0,0.0,14.4542,False,False,False,0.0
398.0,2.0,46.0,0.0,0.0,26.0,True,False,True,0.0
204.0,3.0,45.5,0.0,0.0,7.225,True,False,False,0.0
556.0,1.0,62.0,0.0,0.0,26.55,True,False,True,0.0
869.0,3.0,28.0,0.0,0.0,9.5,True,False,True,0.0
57.0,2.0,21.0,14.49889821951128,0.0,10.5,False,False,True,1.0
125.0,1.0,,0.0,1.0,77.2875,True,False,True,0.0
8.0,3.0,2.0,3.0,1.0,21.075,True,False,True,0.0
13.0,3.0,20.0,0.0,0.0,8.05,True,False,True,0.0
,3.0,28.0,0.0,0.0,7.75,False,True,False,1.0
696.0,2.0,52.0,,0.0,13.5,True,False,True,0.0
361.0,3.0,40.0,1.0,4.0,,True,False,True,0.0
267.0,3.0,16.0,4.0,1.0,39.6875,True,False,True,0.0
275.0,3.0,28.0,0.0,0.0,7.75,False,True,False,1.0
78.0,3.0,28.0,0.0,0.0,,True,False,True,0.0
349.0,3.0,3.0,1.0,1.0,15.9,True,False,True,1.0
505.0,1.0,16.0,0.0,0.0,86.5,False,False,True,1.0
815.0,3.0,30.5,0.0,0.0,8.05,True,False,True,0.0
828.0,2.0,1.0,0.0,2.0,37.0042,True,False,False,1.0
841.0,,20.0,0.0,0.0,7.925,True,,True,0.0
520.0,3.0,32.0,0.0,0.0,7.8958,True,False,True,0.0
